開催回,開催日,第1数字,第2数字,第3数字,第4数字,第5数字,ボーナス数字,1等口数,1等賞金,2等口数,2等賞金,3等口数,3等賞金,4等口数,4等賞金
221,2003-10-14,4,8,14,22,26,9,34,8093100,104,190000,4133,8200,99223,900
222,2003-10-21,10,18,21,26,28,9,22,13581300,262,81900,3282,11300,96339,1000
223,2003-10-28,4,10,16,19,22,21,37,8132300,151,143100,5714,6500,98948,900
224,2003-11-04,12,16,27,30,31,14,25,11611100,70,297900,3465,10400,82546,1100
225,2003-11-11,13,14,18,24,26,16,24,12491200,85,253300,3134,11900,89958,1000
226,2003-11-18,4,12,14,26,30,28,33,9236600,203,107800,4218,8900,100408,900
227,2003-11-25,2,4,7,21,30,20,15,19058600,109,188400,2481,14300,76229,1200
228,2003-12-02,10,17,21,24,27,2,37,8253700,137,160100,3280,11500,99329,1000
229,2003-12-09,12,19,23,24,30,6,33,9216300,190,114900,2980,12700,89737,1100
230,2003-12-16,4,16,17,25,26,19,64,4832700,174,127700,5741,6700,127224,700
231,2003-12-23,3,4,10,11,24,28,31,9241500,200,102900,4625,7700,108085,800
232,2003-12-30,3,12,20,24,26,31,26,11252200,115,182700,3758,9600,100453,900
233,2004-01-06,8,14,19,21,29,25,28,9633000,120,161400,3187,10500,80332,1000
234,2004-01-13,16,18,22,23,26,2,25,11889400,181,117900,4182,8800,106316,900
235,2004-01-20,5,6,16,17,31,8,25,12505600,108,207900,3106,12500,88568,1100
236,2004-01-27,14,17,23,24,29,3,26,12232000,171,133600,4006,9800,103847,900
237,2004-02-03,6,8,17,18,28,20,78,4084300,151,151500,6111,6400,126695,800
238,2004-02-10,13,15,17,22,25,26,28,11373600,257,89000,3843,10300,101080,1000
239,2004-02-17,16,18,21,23,27,31,34,9365000,75,305000,4882,8100,114199,900
240,2004-02-24,2,6,14,28,29,11,35,8967100,133,169500,4376,8900,101184,1000
241,2004-03-02,1,2,4,13,26,7,18,17473900,119,189800,3492,11200,101791,1000
242,2004-03-09,5,12,23,27,31,14,23,13464500,184,120900,4027,9500,102709,900
243,2004-03-16,4,11,15,27,28,1,44,7008100,115,192600,7183,5300,118862,800
244,2004-03-23,6,11,21,22,25,15,24,12380400,123,173500,3292,11200,97451,900
245,2004-03-30,1,10,14,21,28,23,47,6384800,105,205300,3982,9300,89790,1000
246,2004-04-06,1,12,15,20,23,4,33,9153300,163,133100,2901,12900,82832,1100
247,2004-04-13,7,11,19,27,31,2,41,7320300,182,118400,3538,10500,91647,1000
248,2004-04-20,4,13,16,24,29,12,78,3861100,220,98300,6369,5800,124697,700
249,2004-04-27,9,11,12,18,20,7,24,12114300,91,229500,2993,12000,87119,1000
250,2004-05-04,1,3,11,12,31,22,27,9291200,121,148900,3185,9800,74924,1000
251,2004-05-11,1,3,19,20,23,28,24,12296000,96,220800,2568,14300,73461,1300
252,2004-05-18,12,18,24,27,31,22,25,11521100,87,237800,3866,9200,95420,900
253,2004-05-25,1,3,10,21,25,29,28,10284600,118,175300,2924,12200,86212,1000
254,2004-06-01,3,7,22,25,29,27,31,9187600,103,198600,3593,9800,94078,900
255,2004-06-08,12,17,20,27,29,18,21,13221400,89,224100,2727,12600,83401,1000
256,2004-06-15,5,9,15,16,27,28,29,9810900,184,111000,4155,8500,95624,900
257,2004-06-22,2,9,12,20,31,10,19,14706700,85,236100,2577,13500,73193,1200
258,2004-06-29,4,6,9,19,22,5,29,10037800,97,215500,3129,11500,86806,1000
259,2004-07-06,5,7,11,12,23,17,60,4631000,182,109600,5125,6700,115172,700
260,2004-07-13,6,7,17,19,23,28,49,5572500,150,130700,3707,9100,98354,900
261,2004-07-20,2,3,5,14,29,18,10,25798200,94,197100,2358,13600,75413,1100
262,2004-07-27,5,19,23,27,28,2,20,13382700,131,146700,3648,9100,95778,900
263,2004-08-03,15,25,28,30,31,2,15,17632800,93,204300,1924,17100,63955,1300
264,2004-08-10,2,4,7,25,30,15,24,10468800,118,152900,2847,10900,79610,1000
265,2004-08-17,1,3,24,26,28,21,17,15005700,76,241100,2709,11700,76174,1000
266,2004-08-24,3,8,25,28,31,6,19,14047900,105,182600,3690,9000,94718,900
267,2004-08-31,8,14,15,19,25,31,30,8873500,160,119500,3159,10400,83339,1000
268,2004-09-07,17,18,20,27,31,13,19,13679800,85,219600,2045,15800,66358,1200
269,2004-09-14,3,7,20,23,29,16,40,6826100,225,87100,3570,9500,93057,900
270,2004-09-21,9,10,11,14,19,21,13,20034000,96,194900,2363,13700,73686,1100
271,2004-09-28,6,13,15,24,31,20,37,7274300,86,224800,3929,8500,80782,1000
272,2004-10-05,4,16,21,28,29,9,28,9346900,310,60600,4555,7100,99611,800
273,2004-10-12,3,5,7,11,17,23,29,8742000,292,62300,4163,7500,104060,700
274,2004-10-19,7,8,9,16,25,12,26,10293100,146,131600,3576,9300,86151,1000
275,2004-10-26,11,16,17,21,22,19,20,13412000,66,291900,2661,12500,81514,1000
276,2004-11-02,12,16,19,20,23,11,39,7132500,202,98900,4762,7200,98254,900
277,2004-11-09,4,14,16,19,22,10,16,17511600,254,79200,2910,11900,84958,1000
278,2004-11-16,8,12,13,14,24,16,10,28194000,200,101200,2851,12300,86014,1000
279,2004-11-23,2,7,19,23,25,11,43,5986300,223,82900,4024,7900,96125,800
280,2004-11-30,4,9,13,15,19,12,17,16608000,94,215700,3331,10500,87860,1000
281,2004-12-07,5,7,11,13,21,27,38,7439100,197,103000,3829,9100,103121,800
282,2004-12-14,1,2,18,27,29,13,17,16662500,97,209700,2440,14400,74344,1200
283,2004-12-21,11,15,19,20,29,1,15,18924100,88,231700,2628,13400,78689,1100
284,2004-12-28,1,5,8,11,18,30,30,9528900,140,146600,3437,10300,88976,1000
285,2005-01-04,8,17,19,24,26,16,26,7630900,95,150000,2923,8400,64835,900
286,2005-01-11,14,15,20,22,30,2,20,13655200,87,225500,2401,14100,68848,1200
287,2005-01-18,2,7,14,19,21,1,42,6878000,104,199500,4732,7600,100398,900
288,2005-01-25,6,16,21,29,31,18,17,17475700,125,170700,2709,13600,82021,1100
289,2005-02-01,5,6,11,24,28,18,29,9970600,210,98900,4043,8900,99863,900
290,2005-02-08,3,8,11,23,30,5,40,7197400,173,119500,4743,7500,109396,800
291,2005-02-15,4,8,21,23,26,22,29,9948300,103,201200,3109,11500,89249,1000
292,2005-02-22,2,7,13,25,31,17,48,5984900,198,104200,4756,7500,102544,900
293,2005-03-01,14,15,16,24,25,12,23,12479700,107,192700,2853,12500,80698,1100
294,2005-03-08,14,23,26,29,31,28,6,40000000,70,995500,2793,12800,81308,1100
295,2005-03-15,8,14,16,17,26,5,26,11197400,245,85300,4387,8200,109606,800
296,2005-03-22,8,14,18,24,29,19,38,7159900,176,111000,3985,8500,100977,800
297,2005-03-29,5,9,18,25,30,31,45,6305600,135,151000,4188,8400,97486,900
298,2005-04-05,8,10,12,15,22,16,17,16389100,99,202100,2890,12000,81964,1100
299,2005-04-12,2,9,15,26,31,11,47,6410500,142,152400,3547,10500,89194,1100
300,2005-04-19,10,13,16,22,28,7,45,6424100,206,100800,4474,8000,95087,900
301,2005-04-26,5,11,16,26,31,12,52,5500900,156,131700,4483,7900,107605,800
302,2005-05-03,6,7,9,14,20,22,10,25458000,87,210200,2109,15000,66227,1200
303,2005-05-10,13,14,16,19,25,1,19,15129200,87,237300,3396,10500,96539,900
304,2005-05-17,3,10,11,14,20,17,17,16713200,96,212600,2621,13400,82852,1100
305,2005-05-24,10,11,13,16,24,22,23,12214700,172,117300,4575,7600,102505,800
306,2005-05-31,17,20,23,24,31,11,22,12903500,122,167100,2662,13200,78414,1100
307,2005-06-07,2,10,15,21,28,12,54,5180800,132,152200,3409,10200,82805,1100
308,2005-06-14,1,13,17,22,27,16,36,7450000,116,166100,3367,9900,91133,900
309,2005-06-21,8,14,17,22,23,1,37,7572300,98,205300,4758,7300,105910,800
310,2005-06-28,6,14,17,24,25,11,35,8108500,199,102400,4199,8400,102848,800
311,2005-07-05,2,17,19,28,29,10,18,15815700,90,227200,2394,14800,76267,1200
312,2005-07-12,7,12,17,18,21,11,23,12565100,152,136500,3673,9700,98384,900
313,2005-07-19,1,7,26,27,31,30,18,15149100,112,174900,2562,13200,71890,1200
314,2005-07-26,2,7,16,18,20,28,22,12510800,116,170400,2635,13000,81083,1100
315,2005-08-02,7,11,15,28,31,14,37,7512300,131,152400,3681,9400,96522,900
